model   INFO     ------------------------------------
model   INFO      Model is runing in MPI Environment 
model   INFO      Number of process: 1
model   INFO     ------------------------------------
model   INFO      
model   INFO     Loading Kinetic Model...

model   INFO     read in parameters...
model   INFO     max_rootfinding_iterations = 100
model   INFO     active_ratio = 0.4444444444444444
model   INFO     species_definitions =
model   INFO             CO2_g: {'pressure': 0.01}
model   INFO             CO_g: {'pressure': 1.0000000000000001e-05}
model   INFO             O2_g: {'pressure': 0.4}
model   INFO             *_s: {'site_name': 'top', 'type': 'site', 'total': 1.0}
model   INFO     plotter = EnergyProfilePlotter
model   INFO     rate_algo = CT
model   INFO     temperature = 500
model   INFO     rootfinding = MDNewton
model   INFO     tolerance = 1e-15
model   INFO     unitcell_area = 9e-20
model   INFO     corrector = ThermodynamicCorrector
model   INFO     rxn_expressions =
model   INFO             CO_g + *_s -> CO_s
model   INFO             O2_g + 2*_s -> 2O_s
model   INFO             CO_s + O_s <-> CO-O_2s -> CO2_g + 2*_s
model   INFO     Parsing elementary rxns...
model   INFO     MicroKineticModel creating...success!

model.solvers.SteadyStateSolver   INFO     entering lsoda ODE integration loop...
model.solvers.SteadyStateSolver   INFO     start = 0.00  end = 10.00  step = 0.00

model.solvers.SteadyStateSolver   INFO        process             time(s)                CO_s                 O_s
model.solvers.SteadyStateSolver   INFO          25.20%            2.519918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          25.40%            2.539918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          25.60%            2.559918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          25.80%            2.579918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          26.00%            2.599918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          26.20%            2.619918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          26.40%            2.639918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          26.60%            2.659918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          26.80%            2.679918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          27.00%            2.699918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          27.20%            2.719918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          27.40%            2.739918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          27.60%            2.759918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          27.80%            2.779918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          28.00%            2.799918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          28.20%            2.819918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          28.40%            2.839918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          28.60%            2.859918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          28.80%            2.879918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          29.00%            2.899918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          29.20%            2.919918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          29.40%            2.939918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          29.60%            2.959918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          29.80%            2.979918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          30.00%            2.999918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          30.20%            3.019918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          30.40%            3.039918      5.01217760e-11      9.99932175e-01
