model   INFO     ------------------------------------
model   INFO      Model is runing in MPI Environment 
model   INFO      Number of process: 1
model   INFO     ------------------------------------
model   INFO      
model   INFO     Loading Kinetic Model...

model   INFO     read in parameters...
model   INFO     rate_algo = CT
model   INFO     active_ratio = 0.444444444444
model   INFO     temperature = 500
model   INFO     plotter = EnergyProfilePlotter
model   INFO     rootfinding = MDNewton
model   INFO     species_definitions =
model   INFO             *_t: {'type': 'site', 'total': 1.0, 'site_name': 'top'}
model   INFO             CO_g: {'pressure': 0.1}
model   INFO             O2_g: {'pressure': 9.9999999999999995e-08}
model   INFO             CO2_g: {'pressure': 1.32e-07}
model   INFO     max_rootfinding_iterations = 100
model   INFO     rxn_expressions =
model   INFO             CO_g + *_t -> CO_t
model   INFO             O2_g + 2*_t -> 2O_t
model   INFO             CO_t + O_t <-> CO-O_2t -> CO2_g + 2*_t
model   INFO     corrector = ThermodynamicCorrector
model   INFO     tolerance = 1e-50
model   INFO     unitcell_area = 9e-20
model   INFO     Parsing elementary rxns...
model   INFO     MicroKineticModel creating...success!

model.solvers.SteadyStateSolver   INFO     entering lsoda ODE integration loop...
model.solvers.SteadyStateSolver   INFO     start = 0.00  end = 10.00  step = 0.000100

model.solvers.SteadyStateSolver   INFO        process             time(s)                CO_t                 O_t
model.solvers.SteadyStateSolver   INFO          20.40%            2.040000      1.00000000e+00      7.42722283e-33
model.solvers.SteadyStateSolver   INFO          20.60%            2.060000      1.00000000e+00      7.40200880e-33
model.solvers.SteadyStateSolver   INFO          20.80%            2.080000      1.00000000e+00      7.37679476e-33
model.solvers.SteadyStateSolver   INFO          21.00%            2.100000      1.00000000e+00      7.35158072e-33
model.solvers.SteadyStateSolver   INFO          21.20%            2.120000      1.00000000e+00      7.32636669e-33
model.solvers.SteadyStateSolver   INFO          21.40%            2.140000      1.00000000e+00      7.30115265e-33
model.solvers.SteadyStateSolver   INFO          21.60%            2.160000      1.00000000e+00      7.27593861e-33
model.solvers.SteadyStateSolver   INFO          21.80%            2.180000      1.00000000e+00      7.25072458e-33
model.solvers.SteadyStateSolver   INFO          22.00%            2.200000      1.00000000e+00      7.22551054e-33
model.solvers.SteadyStateSolver   INFO          22.20%            2.220000      1.00000000e+00      7.20029650e-33
model.solvers.SteadyStateSolver   INFO          22.40%            2.240000      1.00000000e+00      7.17508247e-33
model.solvers.SteadyStateSolver   INFO          22.60%            2.260000      1.00000000e+00      7.14986843e-33
model.solvers.SteadyStateSolver   INFO          22.80%            2.280000      1.00000000e+00      7.12465439e-33
model.solvers.SteadyStateSolver   INFO          23.00%            2.300000      1.00000000e+00      7.09944036e-33
model.solvers.SteadyStateSolver   INFO          23.20%            2.320000      1.00000000e+00      7.07422632e-33
model.solvers.SteadyStateSolver   INFO          23.40%            2.340000      1.00000000e+00      7.04901228e-33
model.solvers.SteadyStateSolver   INFO          23.60%            2.360000      1.00000000e+00      7.02379825e-33
model.solvers.SteadyStateSolver   INFO          23.80%            2.380000      1.00000000e+00      6.99858421e-33
model.solvers.SteadyStateSolver   INFO          24.00%            2.400000      1.00000000e+00      6.97337017e-33
model.solvers.SteadyStateSolver   INFO          24.20%            2.420000      1.00000000e+00      6.94815614e-33
model.solvers.SteadyStateSolver   INFO          24.40%            2.440000      1.00000000e+00      6.92294210e-33
model.solvers.SteadyStateSolver   INFO          24.60%            2.460000      1.00000000e+00      6.89772806e-33
model.solvers.SteadyStateSolver   INFO          24.80%            2.480000      1.00000000e+00      6.87251403e-33
model.solvers.SteadyStateSolver   INFO          25.00%            2.500000      1.00000000e+00      6.84729999e-33
model.solvers.SteadyStateSolver   INFO          25.20%            2.520000      1.00000000e+00      6.82208595e-33
model.solvers.SteadyStateSolver   INFO          25.40%            2.540000      1.00000000e+00      6.79687192e-33
model.solvers.SteadyStateSolver   INFO          25.60%            2.560000      1.00000000e+00      6.77165788e-33
model.solvers.SteadyStateSolver   INFO          25.80%            2.580000      1.00000000e+00      6.74644384e-33
model.solvers.SteadyStateSolver   INFO          26.00%            2.600000      1.00000000e+00      6.72122981e-33
model.solvers.SteadyStateSolver   INFO          26.20%            2.620000      1.00000000e+00      6.69601577e-33
model.solvers.SteadyStateSolver   INFO          26.40%            2.640000      1.00000000e+00      6.67080174e-33
model.solvers.SteadyStateSolver   INFO          26.60%            2.660000      1.00000000e+00      6.64558770e-33
model.solvers.SteadyStateSolver   INFO          26.80%            2.680000      1.00000000e+00      6.62037366e-33
model.solvers.SteadyStateSolver   INFO          27.00%            2.700000      1.00000000e+00      6.59515963e-33
model.solvers.SteadyStateSolver   INFO          27.20%            2.720000      1.00000000e+00      6.56994559e-33
model.solvers.SteadyStateSolver   INFO          27.40%            2.740000      1.00000000e+00      6.54473155e-33
model.solvers.SteadyStateSolver   INFO          27.60%            2.760000      1.00000000e+00      6.51951752e-33
model.solvers.SteadyStateSolver   INFO          27.80%            2.780000      1.00000000e+00      6.49430348e-33
model.solvers.SteadyStateSolver   INFO          28.00%            2.800000      1.00000000e+00      6.46908944e-33
