model   INFO     ------------------------------------
model   INFO      Model is runing in MPI Environment 
model   INFO      Number of process: 1
model   INFO     ------------------------------------
model   INFO      
model   INFO     Loading Kinetic Model...

model   INFO     read in parameters...
model   INFO     tolerance = 1e-50
model   INFO     rootfinding = MDNewton
model   INFO     max_rootfinding_iterations = 100
model   INFO     rate_algo = TST
model   INFO     species_definitions =
model   INFO             CO2_g: {'pressure': 0.0}
model   INFO             *_s: {'type': 'site', 'total': 1.0, 'site_name': 'top'}
model   INFO             CO_g: {'pressure': 1e-05}
model   INFO             O2_g: {'pressure': 5}
model   INFO     corrector = ThermodynamicCorrector
model   INFO     rxn_expressions =
model   INFO             CO_g + *_s <-> C-O_s -> CO_s
model   INFO             O2_g + 2*_s <-> O-O_2s -> 2O_s
model   INFO             CO_s + O_s <-> CO-O_2s -> CO2_g + 2*_s
model   INFO     unitcell_area = 9e-20
model   INFO     active_ratio = 0.4444444444444444
model   INFO     temperature = 500
model   INFO     plotter = EnergyProfilePlotter
model   INFO     Parsing elementary rxns...
model   INFO     MicroKineticModel creating...success!

model.solvers.SteadyStateSolver   INFO     entering lsoda ODE integration loop...
model.solvers.SteadyStateSolver   INFO     start = 0.00  end = 0.00  step = 0.000000

model.solvers.SteadyStateSolver   INFO        process             time(s)                CO_s                 O_s
model.solvers.SteadyStateSolver   INFO           4.24%            0.000021      8.23536780e-01      3.67996796e-02
model.solvers.SteadyStateSolver   INFO           4.28%            0.000021      8.25872491e-01      3.65107231e-02
model.solvers.SteadyStateSolver   INFO           4.32%            0.000022      8.28169797e-01      3.62219687e-02
model.solvers.SteadyStateSolver   INFO           4.36%            0.000022      8.30429473e-01      3.59334954e-02
model.solvers.SteadyStateSolver   INFO           4.40%            0.000022      8.32652278e-01      3.56453790e-02
model.solvers.SteadyStateSolver   INFO           4.44%            0.000022      8.34838952e-01      3.53576922e-02
model.solvers.SteadyStateSolver   INFO           4.48%            0.000022      8.36990217e-01      3.50705045e-02
model.solvers.SteadyStateSolver   INFO           4.52%            0.000023      8.39106779e-01      3.47838826e-02
model.solvers.SteadyStateSolver   INFO           4.56%            0.000023      8.41189329e-01      3.44978903e-02
model.solvers.SteadyStateSolver   INFO           4.60%            0.000023      8.43238540e-01      3.42125887e-02
model.solvers.SteadyStateSolver   INFO           4.64%            0.000023      8.45255071e-01      3.39280361e-02
model.solvers.SteadyStateSolver   INFO           4.68%            0.000023      8.47239564e-01      3.36442884e-02
model.solvers.SteadyStateSolver   INFO           4.72%            0.000024      8.49192648e-01      3.33613988e-02
model.solvers.SteadyStateSolver   INFO           4.76%            0.000024      8.51114936e-01      3.30794182e-02
model.solvers.SteadyStateSolver   INFO           4.80%            0.000024      8.53007029e-01      3.27983953e-02
model.solvers.SteadyStateSolver   INFO           4.84%            0.000024      8.54869513e-01      3.25183765e-02
model.solvers.SteadyStateSolver   INFO           4.88%            0.000024      8.56702961e-01      3.22394062e-02
model.solvers.SteadyStateSolver   INFO           4.92%            0.000025      8.58507932e-01      3.19615264e-02
model.solvers.SteadyStateSolver   INFO           4.96%            0.000025      8.60284973e-01      3.16847774e-02
model.solvers.SteadyStateSolver   INFO           5.00%            0.000025      8.62034619e-01      3.14091974e-02
model.solvers.SteadyStateSolver   INFO           5.04%            0.000025      8.63757393e-01      3.11348226e-02
model.solvers.SteadyStateSolver   INFO           5.08%            0.000025      8.65453805e-01      3.08616878e-02
model.solvers.SteadyStateSolver   INFO           5.12%            0.000026      8.67124356e-01      3.05898259e-02
model.solvers.SteadyStateSolver   INFO           5.16%            0.000026      8.68769532e-01      3.03192679e-02
model.solvers.SteadyStateSolver   INFO           5.20%            0.000026      8.70389811e-01      3.00500436e-02
model.solvers.SteadyStateSolver   INFO           5.24%            0.000026      8.71985659e-01      2.97821807e-02
model.solvers.SteadyStateSolver   INFO           5.28%            0.000026      8.73557534e-01      2.95157057e-02
model.solvers.SteadyStateSolver   INFO           5.32%            0.000027      8.75105880e-01      2.92506438e-02
model.solvers.SteadyStateSolver   INFO           5.36%            0.000027      8.76631133e-01      2.89870184e-02
model.solvers.SteadyStateSolver   INFO           5.40%            0.000027      8.78133722e-01      2.87248521e-02
model.solvers.SteadyStateSolver   INFO           5.44%            0.000027      8.79614061e-01      2.84641658e-02
model.solvers.SteadyStateSolver   INFO           5.48%            0.000027      8.81072560e-01      2.82049793e-02
model.solvers.SteadyStateSolver   INFO           5.52%            0.000028      8.82509618e-01      2.79473112e-02
model.solvers.SteadyStateSolver   INFO           5.56%            0.000028      8.83925625e-01      2.76911792e-02
model.solvers.SteadyStateSolver   INFO           5.60%            0.000028      8.85320963e-01      2.74365996e-02
model.solvers.SteadyStateSolver   INFO           5.64%            0.000028      8.86696005e-01      2.71835876e-02
model.solvers.SteadyStateSolver   INFO           5.68%            0.000028      8.88051116e-01      2.69321570e-02
model.solvers.SteadyStateSolver   INFO           5.72%            0.000029      8.89386655e-01      2.66823209e-02
model.solvers.SteadyStateSolver   INFO           5.76%            0.000029      8.90702969e-01      2.64340915e-02
model.solvers.SteadyStateSolver   INFO           5.80%            0.000029      8.92000402e-01      2.61874801e-02
model.solvers.SteadyStateSolver   INFO           5.84%            0.000029      8.93279289e-01      2.59424968e-02
model.solvers.SteadyStateSolver   INFO           5.88%            0.000029      8.94539956e-01      2.56991512e-02
model.solvers.SteadyStateSolver   INFO           5.92%            0.000030      8.95782725e-01      2.54574517e-02
model.solvers.SteadyStateSolver   INFO           5.96%            0.000030      8.97007909e-01      2.52174062e-02
model.solvers.SteadyStateSolver   INFO           6.00%            0.000030      8.98215815e-01      2.49790216e-02
model.solvers.SteadyStateSolver   INFO           6.04%            0.000030      8.99406744e-01      2.47423040e-02
model.solvers.SteadyStateSolver   INFO           6.08%            0.000030      9.00580990e-01      2.45072591e-02
model.solvers.SteadyStateSolver   INFO           6.12%            0.000031      9.01738842e-01      2.42738921e-02
model.solvers.SteadyStateSolver   INFO           6.16%            0.000031      9.02880581e-01      2.40422070e-02
