model   INFO     ------------------------------------
model   INFO      Model is runing in MPI Environment 
model   INFO      Number of process: 1
model   INFO     ------------------------------------
model   INFO      
model   INFO     Loading Kinetic Model...

model   INFO     read in parameters...
model   INFO     rxn_expressions =
model   INFO             CO_g + *_s -> CO_s
model   INFO             O2_g + 2*_s -> 2O_s
model   INFO             CO_s + O_s <-> CO-O_2s -> CO2_g + 2*_s
model   INFO     tolerance = 1e-30
model   INFO     plotter = EnergyProfilePlotter
model   INFO     corrector = ThermodynamicCorrector
model   INFO     unitcell_area = 9e-20
model   INFO     species_definitions =
model   INFO             O2_g: {'pressure': 0.20000000000000001}
model   INFO             *_s: {'type': 'site', 'total': 1.0, 'site_name': 'top'}
model   INFO             CO_g: {'pressure': 0.1}
model   INFO             CO2_g: {'pressure': 0.01}
model   INFO     rate_algo = CT
model   INFO     rootfinding = MDNewton
model   INFO     max_rootfinding_iterations = 100
model   INFO     temperature = 500
model   INFO     active_ratio = 0.4444444444444444
model   INFO     Parsing elementary rxns...
model   INFO     MicroKineticModel creating...success!

model.solvers.SteadyStateSolver   INFO     entering lsoda ODE integration loop...
model.solvers.SteadyStateSolver   INFO     start = 0.00  end = 10.00  step = 0.00

model.solvers.SteadyStateSolver   INFO        process             time(s)                CO_s                 O_s
model.solvers.SteadyStateSolver   INFO          17.60%            1.759801      1.00000000e+00      1.79953334e-26
model.solvers.SteadyStateSolver   INFO          17.80%            1.779801      1.00000000e+00      1.79953334e-26
model.solvers.SteadyStateSolver   INFO          18.00%            1.799801      1.00000000e+00      1.79953334e-26
model.solvers.SteadyStateSolver   INFO          18.20%            1.819801      1.00000000e+00      1.79953334e-26
model.solvers.SteadyStateSolver   INFO          18.40%            1.839801      1.00000000e+00      1.79953333e-26
model.solvers.SteadyStateSolver   INFO          18.60%            1.859801      1.00000000e+00      1.79953333e-26
model.solvers.SteadyStateSolver   INFO          18.80%            1.879801      1.00000000e+00      1.79953333e-26
model.solvers.SteadyStateSolver   INFO          19.00%            1.899801      1.00000000e+00      1.79953333e-26
model.solvers.SteadyStateSolver   INFO          19.20%            1.919801      1.00000000e+00      1.79953333e-26
model.solvers.SteadyStateSolver   INFO          19.40%            1.939801      1.00000000e+00      1.79953332e-26
model.solvers.SteadyStateSolver   INFO          19.60%            1.959801      1.00000000e+00      1.79852072e-26
model.solvers.SteadyStateSolver   INFO          19.80%            1.979801      1.00000000e+00      1.79237915e-26
model.solvers.SteadyStateSolver   INFO          20.00%            1.999801      1.00000000e+00      1.78623759e-26
model.solvers.SteadyStateSolver   INFO          20.20%            2.019801      1.00000000e+00      1.78009603e-26
model.solvers.SteadyStateSolver   INFO          20.40%            2.039801      1.00000000e+00      1.77395447e-26
model.solvers.SteadyStateSolver   INFO          20.60%            2.059801      1.00000000e+00      1.76781290e-26
model.solvers.SteadyStateSolver   INFO          20.80%            2.079801      1.00000000e+00      1.76167134e-26
model.solvers.SteadyStateSolver   INFO          21.00%            2.099801      1.00000000e+00      1.75552978e-26
model.solvers.SteadyStateSolver   INFO          21.20%            2.119801      1.00000000e+00      1.74938822e-26
model.solvers.SteadyStateSolver   INFO          21.40%            2.139801      1.00000000e+00      1.74324666e-26
model.solvers.SteadyStateSolver   INFO          21.60%            2.159801      1.00000000e+00      1.73710509e-26
model.solvers.SteadyStateSolver   INFO          21.80%            2.179801      1.00000000e+00      1.73096353e-26
model.solvers.SteadyStateSolver   INFO          22.00%            2.199801      1.00000000e+00      1.72482197e-26
model.solvers.SteadyStateSolver   INFO          22.20%            2.219801      1.00000000e+00      1.71868041e-26
model.solvers.SteadyStateSolver   INFO          22.40%            2.239801      1.00000000e+00      1.71253885e-26
model.solvers.SteadyStateSolver   INFO          22.60%            2.259801      1.00000000e+00      1.70639728e-26
model.solvers.SteadyStateSolver   INFO          22.80%            2.279801      1.00000000e+00      1.70025572e-26
model.solvers.SteadyStateSolver   INFO          23.00%            2.299801      1.00000000e+00      1.69411416e-26
model.solvers.SteadyStateSolver   INFO          23.20%            2.319801      1.00000000e+00      1.68797260e-26
model.solvers.SteadyStateSolver   INFO          23.40%            2.339801      1.00000000e+00      1.68183103e-26
model.solvers.SteadyStateSolver   INFO          23.60%            2.359801      1.00000000e+00      1.67568947e-26
model.solvers.SteadyStateSolver   INFO          23.80%            2.379801      1.00000000e+00      1.66954791e-26
model.solvers.SteadyStateSolver   INFO          24.00%            2.399801      1.00000000e+00      1.66340635e-26
model.solvers.SteadyStateSolver   INFO          24.20%            2.419801      1.00000000e+00      1.65726479e-26
model.solvers.SteadyStateSolver   INFO          24.40%            2.439801      1.00000000e+00      1.65112322e-26
model.solvers.SteadyStateSolver   INFO          24.60%            2.459801      1.00000000e+00      1.64498166e-26
model.solvers.SteadyStateSolver   INFO          24.80%            2.479801      1.00000000e+00      1.63884010e-26
model.solvers.SteadyStateSolver   INFO          25.00%            2.499801      1.00000000e+00      1.63269854e-26
model.solvers.SteadyStateSolver   INFO          25.20%            2.519801      1.00000000e+00      1.62655697e-26
