model   INFO     ------------------------------------
model   INFO      Model is runing in MPI Environment 
model   INFO      Number of process: 1
model   INFO     ------------------------------------
model   INFO      
model   INFO     Loading Kinetic Model...

model   INFO     read in parameters...
model   INFO     rate_algo = CT
model   INFO     active_ratio = 0.444444444444
model   INFO     temperature = 500
model   INFO     plotter = EnergyProfilePlotter
model   INFO     rootfinding = MDNewton
model   INFO     species_definitions =
model   INFO             *_t: {'type': 'site', 'total': 1.0, 'site_name': 'top'}
model   INFO             CO_g: {'pressure': 1.0000000000000001e-05}
model   INFO             O2_g: {'pressure': 0.5}
model   INFO             CO2_g: {'pressure': 1.32e-07}
model   INFO     max_rootfinding_iterations = 100
model   INFO     rxn_expressions =
model   INFO             CO_g + *_t -> CO_t
model   INFO             O2_g + 2*_t -> 2O_t
model   INFO             CO_t + O_t <-> CO-O_2t -> CO2_g + 2*_t
model   INFO     corrector = ThermodynamicCorrector
model   INFO     tolerance = 1e-50
model   INFO     unitcell_area = 9e-20
model   INFO     Parsing elementary rxns...
model   INFO     MicroKineticModel creating...success!

model.solvers.SteadyStateSolver   INFO     entering lsoda ODE integration loop...
model.solvers.SteadyStateSolver   INFO     start = 0.00  end = 10.00  step = 0.000100

model.solvers.SteadyStateSolver   INFO        process             time(s)                CO_t                 O_t
model.solvers.SteadyStateSolver   INFO          27.60%            2.759916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          27.80%            2.779916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          28.00%            2.799916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          28.20%            2.819916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          28.40%            2.839916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          28.60%            2.859916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          28.80%            2.879916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          29.00%            2.899916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          29.20%            2.919916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          29.40%            2.939916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          29.60%            2.959916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          29.80%            2.979916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          30.00%            2.999916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          30.20%            3.019916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          30.40%            3.039916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          30.60%            3.059916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          30.80%            3.079916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          31.00%            3.099916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          31.20%            3.119916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          31.40%            3.139916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          31.60%            3.159916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          31.80%            3.179916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          32.00%            3.199916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          32.20%            3.219916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          32.40%            3.239916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          32.60%            3.259916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          32.80%            3.279916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          33.00%            3.299916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          33.20%            3.319916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          33.40%            3.339916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          33.60%            3.359916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          33.80%            3.379916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          34.00%            3.399916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          34.20%            3.419916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          34.40%            3.439916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          34.60%            3.459916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          34.80%            3.479916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          35.00%            3.499916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          35.20%            3.519916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          35.40%            3.539916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          35.60%            3.559916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          35.80%            3.579916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          36.00%            3.599916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          36.20%            3.619916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          36.40%            3.639916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          36.60%            3.659916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          36.80%            3.679916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          37.00%            3.699916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          37.20%            3.719916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          37.40%            3.739916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          37.60%            3.759916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          37.80%            3.779916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          38.00%            3.799916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          38.20%            3.819916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          38.40%            3.839916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          38.60%            3.859916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          38.80%            3.879916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          39.00%            3.899916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          39.20%            3.919916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          39.40%            3.939916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          39.60%            3.959916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          39.80%            3.979916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          40.00%            3.999916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          40.20%            4.019916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          40.40%            4.039916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          40.60%            4.059916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          40.80%            4.079916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          41.00%            4.099916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          41.20%            4.119916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          41.40%            4.139916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          41.60%            4.159916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          41.80%            4.179916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          42.00%            4.199916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          42.20%            4.219916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          42.40%            4.239916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          42.60%            4.259916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          42.80%            4.279916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          43.00%            4.299916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          43.20%            4.319916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          43.40%            4.339916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          43.60%            4.359916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          43.80%            4.379916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          44.00%            4.399916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          44.20%            4.419916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          44.40%            4.439916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          44.60%            4.459916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          44.80%            4.479916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          45.00%            4.499916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          45.20%            4.519916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          45.40%            4.539916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          45.60%            4.559916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          45.80%            4.579916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          46.00%            4.599916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          46.20%            4.619916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          46.40%            4.639916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          46.60%            4.659916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          46.80%            4.679916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          47.00%            4.699916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          47.20%            4.719916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          47.40%            4.739916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          47.60%            4.759916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          47.80%            4.779916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          48.00%            4.799916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          48.20%            4.819916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          48.40%            4.839916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          48.60%            4.859916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          48.80%            4.879916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          49.00%            4.899916      4.00968720e-11      9.99945740e-01
model.solvers.SteadyStateSolver   INFO          49.20%            4.919916      4.00968720e-11      9.99945740e-01
