model   INFO     ------------------------------------
model   INFO      Model is runing in MPI Environment 
model   INFO      Number of process: 1
model   INFO     ------------------------------------
model   INFO      
model   INFO     Loading Kinetic Model...

model   INFO     read in parameters...
model   INFO     unitcell_area = 9e-20
model   INFO     tolerance = 1e-50
model   INFO     rxn_expressions =
model   INFO             CO_g + *_s <-> C-O_s -> CO_s
model   INFO             O2_g + 2*_s <-> O-O_2s -> 2O_s
model   INFO             CO_s + O_s <-> CO-O_2s -> CO2_g + 2*_s
model   INFO     temperature = 500
model   INFO     corrector = ThermodynamicCorrector
model   INFO     plotter = EnergyProfilePlotter
model   INFO     max_rootfinding_iterations = 100
model   INFO     rate_algo = TST
model   INFO     species_definitions =
model   INFO             CO_g: {'pressure': 1e-05}
model   INFO             CO2_g: {'pressure': 0.0}
model   INFO             O2_g: {'pressure': 5}
model   INFO             *_s: {'type': 'site', 'total': 1.0, 'site_name': 'top'}
model   INFO     rootfinding = MDNewton
model   INFO     active_ratio = 0.4444444444444444
model   INFO     Parsing elementary rxns...
model   INFO     MicroKineticModel creating...success!

model.solvers.SteadyStateSolver   INFO     entering lsoda ODE integration loop...
model.solvers.SteadyStateSolver   INFO     start = 0.00  end = 0.00  step = 0.000000

model.solvers.SteadyStateSolver   INFO        process             time(s)                CO_s                 O_s
model.solvers.SteadyStateSolver   INFO          15.20%            0.000076      9.88985157e-01      2.15867302e-03
model.solvers.SteadyStateSolver   INFO          15.40%            0.000077      9.89387645e-01      2.04221990e-03
model.solvers.SteadyStateSolver   INFO          15.60%            0.000078      9.89768837e-01      1.93199714e-03
model.solvers.SteadyStateSolver   INFO          15.80%            0.000079      9.90129855e-01      1.82767774e-03
model.solvers.SteadyStateSolver   INFO          16.00%            0.000080      9.90471760e-01      1.72895117e-03
model.solvers.SteadyStateSolver   INFO          16.20%            0.000081      9.90795556e-01      1.63552281e-03
model.solvers.SteadyStateSolver   INFO          16.40%            0.000082      9.91102195e-01      1.54711283e-03
model.solvers.SteadyStateSolver   INFO          16.60%            0.000083      9.91392582e-01      1.46345557e-03
model.solvers.SteadyStateSolver   INFO          16.80%            0.000084      9.91667568e-01      1.38429937e-03
model.solvers.SteadyStateSolver   INFO          17.00%            0.000085      9.91927962e-01      1.30940540e-03
model.solvers.SteadyStateSolver   INFO          17.20%            0.000086      9.92174535e-01      1.23854685e-03
model.solvers.SteadyStateSolver   INFO          17.40%            0.000087      9.92408011e-01      1.17150896e-03
model.solvers.SteadyStateSolver   INFO          17.60%            0.000088      9.92629080e-01      1.10808828e-03
model.solvers.SteadyStateSolver   INFO          17.80%            0.000089      9.92838393e-01      1.04809159e-03
model.solvers.SteadyStateSolver   INFO          18.00%            0.000090      9.93036572e-01      9.91335769e-04
